,id,latitude,longitude,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020,clusters,cluster
10953,4428854,40.72951,-73.95525,55,121,1,81,1.49,214,1,purple
10954,15890547,40.72311,-73.9411,89,195,1,99,2.69,0,2,dark purple
10955,15154905,40.73287,-73.95211,130,218,1,125,3.33,163,2,dark purple
10956,24312987,40.72558,-73.95706,68,279,1,64,3.23,44,0,pink
10957,24543645,40.72549,-73.95574,112,282,1,87,4.49,76,0,pink
10958,25172224,40.72613,-73.95676,99,297,1,47,2.49,21,0,pink
10959,25189799,40.72715,-73.95667,87,300,1,33,1.75,21,0,pink
10960,21699294,40.72207,-73.94226,70,302,1,94,3.77,107,0,pink
10961,28314576,40.73482,-73.95399,70,319,1,5,0.36,248,0,pink
10962,1707823,40.73487,-73.95789,75,326,1,93,4.51,75,1,purple
10963,24946637,40.72555,-73.95704,99,328,1,18,0.96,22,0,pink
10964,23270879,40.72291,-73.94781,100,332,1,7,0.35,0,0,pink
10965,28638855,40.72586,-73.94466,99,336,1,8,0.58,0,0,pink
10966,13972766,40.72738,-74.00018,79,199,1,193,4.67,74,2,dark purple
10967,30438251,40.73293,-73.9946,47,314,1,2,0.18,0,0,pink
10968,15177635,40.65657,-74.00358,70,0,1,33,0.91,363,2,dark purple
10969,15164526,40.65607,-74.00306,60,101,1,33,0.85,272,2,dark purple
10970,7381038,40.66203,-73.99176,75,358,1,132,2.47,351,1,purple
10971,3924820,40.82035,-73.95529,99,0,1,76,1.22,1,1,purple
10972,8470281,40.82497,-73.94595,60,2,1,1,0.09,359,1,purple
10973,4833671,40.82899,-73.95024,80,16,1,9,0.17,355,1,purple
10974,10088612,40.82069,-73.95549,60,24,1,264,6.33,287,1,purple
10975,4753866,40.82501,-73.95373,125,26,1,4,0.07,157,1,purple
10976,5192165,40.82306,-73.94688,63,74,1,232,4.16,0,1,purple
10977,6004200,40.82846,-73.94492,65,148,1,6,0.11,360,1,purple
10978,29516678,40.8252,-73.95189,100,192,1,17,1.28,97,0,pink
10979,24105640,40.8301,-73.94757,99,287,1,26,1.55,70,0,pink
10980,24104871,40.83163,-73.94615,70,288,1,16,0.88,63,0,pink
10981,30474972,40.82375,-73.94381,60,291,1,8,0.88,78,0,pink
10982,7749818,40.82312,-73.94539,93,298,1,118,2.85,68,1,purple
10983,28222556,40.82266,-73.95481,70,301,1,1,0.25,88,0,pink
10984,2563440,40.8235,-73.95144,68,304,1,93,1.37,58,1,purple
10985,17682955,40.82279,-73.9517,79,322,1,92,2.8,0,2,dark purple
10986,5162578,40.82774,-73.95181,115,356,1,28,0.94,0,1,purple
10987,7955889,40.82036,-73.94219,73,0,1,12,0.3,319,1,purple
10988,8034665,40.80083,-73.95584,250,0,1,22,0.43,365,1,purple
10989,4257889,40.8049,-73.96558,89,2,1,59,1.49,363,1,purple
10990,6662967,40.80132,-73.9547,85,5,1,24,0.45,361,1,purple
10991,25538850,40.78845,-73.95484,1100,7,1,1,0.06,0,0,pink
10992,14354698,40.81315,-73.95389,49,8,1,13,0.32,44,2,dark purple
10993,1753671,40.79692,-73.94434,105,8,1,47,0.91,346,1,purple
10994,27235864,40.82962,-73.94212,80,9,1,14,0.85,364,0,pink
10995,9821370,40.82391,-73.93881,85,9,1,32,0.73,364,1,purple
10996,25073155,40.80973,-73.9457,80,11,1,37,2.03,354,0,pink
10997,859596,40.79541,-73.94465,105,12,1,66,0.88,349,1,purple
10998,3920562,40.79882,-73.94266,90,13,1,324,5.06,146,1,purple
10999,8568094,40.80255,-73.95347,100,13,1,36,1.87,348,1,purple
11000,16812429,40.8069,-73.95038,235,14,1,14,0.49,364,2,dark purple
11001,4538012,40.82102,-73.94633,85,15,1,30,0.5,362,1,purple
11002,808476,40.83378,-73.94966,85,20,1,1,0.01,0,1,purple
11003,16869999,40.81609,-73.93663,55,20,1,56,1.67,0,2,dark purple
11004,14111092,40.82446,-73.94318,69,20,1,74,1.83,0,2,dark purple
11005,5152230,40.82383,-73.94639,65,24,1,61,1.05,157,1,purple
11006,903947,40.82124,-73.93838,49,25,1,623,7.56,0,1,purple
11007,23851659,40.80397,-73.95615,45,25,1,86,4.17,62,0,pink
11008,2488022,40.8151,-73.95147,65,27,1,30,1.56,361,1,purple
11009,8690773,40.81616,-73.9419,55,33,1,4,0.08,348,1,purple
11010,26995950,40.82226,-73.95569,62,35,1,106,6.37,0,0,pink
11011,6737249,40.8027,-73.9581,95,38,1,20,0.49,187,1,purple
11012,12583907,40.80015,-73.93764,60,42,1,160,3.66,148,2,dark purple
11013,23790744,40.80442,-73.95629,60,45,1,105,5.11,60,0,pink
11014,12834953,40.7955,-73.94945,81,62,1,129,3.09,81,2,dark purple
11015,5491088,40.80347,-73.95809,99,65,1,79,1.36,332,1,purple
11016,16546903,40.80931,-73.9412,159,69,1,83,2.33,218,2,dark purple
11017,12054723,40.81574,-73.94871,72,81,1,124,2.8,1,2,dark purple
11018,17014809,40.80769,-73.95505,118,90,1,112,3.83,0,2,dark purple
11019,3247291,40.81198,-73.9437,80,108,1,154,4.31,194,1,purple
11020,20796595,40.81968,-73.95831,70,119,1,46,1.71,0,2,dark purple
11021,1151343,40.80449,-73.95687,96,131,1,57,0.71,189,1,purple
11022,24833043,40.80848,-73.94271,65,136,1,29,1.52,187,0,pink
11023,15360787,40.80968,-73.94425,125,140,1,45,2.67,155,2,dark purple
11024,5519207,40.80843,-73.93722,80,140,1,151,2.76,194,1,purple
11025,28662351,40.79933,-73.94283,59,157,1,45,3.05,159,0,pink
11026,19505956,40.78603,-73.95015,165,186,1,4,0.15,179,2,dark purple
11027,8753832,40.82219,-73.9448,100,195,1,62,1.23,82,1,purple
11028,13710241,40.801,-73.95833,110,199,1,28,1.0,94,2,dark purple
11029,24716751,40.8175,-73.95234,62,201,1,52,2.68,157,0,pink
11030,10460113,40.82021,-73.95307,59,203,1,80,2.01,130,2,dark purple
11031,26334022,40.81493,-73.94403,69,206,1,99,5.68,150,0,pink
11032,9178165,40.79724,-73.94968,80,208,1,241,4.89,0,1,purple
11033,23268810,40.80541,-73.93658,80,208,1,74,3.8,160,0,pink
11034,21519958,40.8236,-73.9516,67,209,1,39,1.83,0,0,pink
11035,2875923,40.82149,-73.93718,75,209,1,6,0.42,123,1,purple
11036,23584115,40.8232,-73.95463,55,211,1,55,2.56,0,0,pink
11037,22000913,40.82204,-73.94293,65,213,1,74,3.02,162,0,pink
11038,13156881,40.82267,-73.94677,70,226,1,59,1.39,0,2,dark purple
11039,27326744,40.82698,-73.93871,40,227,1,39,2.7,162,0,pink
11040,26947587,40.80681,-73.95119,125,234,1,80,4.86,145,0,pink
11041,23336678,40.82724,-73.94686,35,235,1,81,3.72,0,0,pink
11042,27965586,40.81515,-73.95031,95,257,1,3,0.2,30,0,pink
11043,27043685,40.81379,-73.93536,90,278,1,9,0.56,0,0,pink
11044,23986569,40.81205,-73.95322,65,279,1,7,0.36,0,0,pink
11045,23652689,40.81798,-73.93956,115,282,1,65,3.1,38,0,pink
11046,29959104,40.81927,-73.93886,200,283,1,8,0.66,0,0,pink
11047,22289683,40.82656,-73.94724,20,283,1,142,5.92,0,0,pink
11048,23807788,40.82961,-73.9474,80,284,1,11,0.65,0,0,pink
11049,20624427,40.82736,-73.95292,65,290,1,52,1.9,80,2,dark purple
11050,23702356,40.81274,-73.9455,147,294,1,3,0.2,74,0,pink
11051,13957499,40.81557,-73.95295,88,295,1,161,4.05,0,2,dark purple
11052,29626161,40.80441,-73.96352,85,295,1,62,4.67,170,0,pink
11053,21550808,40.82148,-73.9366,69,297,1,67,2.75,62,0,pink
11054,23702317,40.81304,-73.9456,105,297,1,50,3.03,85,0,pink
11055,29031273,40.80771,-73.93853,66,297,1,27,2.07,133,0,pink
11056,24085451,40.78723,-73.94956,100,299,1,80,3.9,2,0,pink
11057,10351593,40.81853,-73.9443,90,302,1,187,5.61,0,1,purple
11058,16795643,40.79933,-73.94272,98,302,1,121,3.49,97,2,dark purple
11059,13225764,40.82579,-73.9528,79,306,1,72,1.69,0,2,dark purple
11060,20356040,40.78828,-73.94385,82,307,1,204,7.43,0,2,dark purple
11061,21862155,40.81919,-73.94554,89,308,1,141,5.7,0,0,pink
11062,4950357,40.81561,-73.95264,89,309,1,234,4.09,0,1,purple
11063,18208811,40.80965,-73.94696,115,312,1,137,4.53,0,2,dark purple
